date,city,city_id,pop,Índice
2020-03-05,AMERICANA,3501608,242018,0.351485768
2020-03-05,AMPARO,3501905,72677,0.414917166
2020-03-05,ARAÇATUBA,3502804,198129,0.314153212
2020-03-05,ARARAQUARA,3503208,238339,0.315695086
2020-03-05,ARARAS,3503307,135506,0.368553635
2020-03-05,ARUJÁ,3503901,91157,0.3598234
2020-03-05,ASSIS,3504008,105087,0.36067956
2020-03-05,ATIBAIA,3504107,144088,0.355162074
2020-03-05,AVARÉ,3504503,91232,0.378531718
2020-03-05,BARRETOS,3505500,122833,0.410766903
2020-03-05,BARUERI,3505708,276982,0.277127791
2020-03-05,BAURU,3506003,379297,0.296194324
2020-03-05,BEBEDOURO,3506102,77555,0.482081911
2020-03-05,BIRIGUI,3506508,124883,0.399657727
2020-03-05,BOTUCATU,3507506,148130,0.345752242
2020-03-05,BRAGANÇA PAULISTA,3507605,170533,0.32749771
2020-03-05,CAÇAPAVA,3508504,95018,0.444407259
2020-03-05,CAIEIRAS,3509007,102775,0.336902564
2020-03-05,CAJAMAR,3509205,77934,0.405778024
2020-03-05,CAMPINAS,3509502,1213792,0.297925319
2020-03-05,CAMPO LIMPO PAULISTA,3509601,85541,0.36911298
2020-03-05,CARAGUATATUBA,3510500,123389,0.436170576
2020-03-05,CARAPICUÍBA,3510609,403183,0.309627663
2020-03-05,CATANDUVA,3511102,122497,0.334852646
2020-03-05,COTIA,3513009,253608,0.353689783
2020-03-05,CRUZEIRO,3513405,82571,0.507731336
2020-03-05,CUBATÃO,3513504,131626,0.368073659
2020-03-05,DIADEMA,3513801,426757,0.337633796
2020-03-05,EMBU DAS ARTES,3515004,276535,0.354260958
2020-03-05,ESTADO DE SÃO PAULO,35,46289333,0.3
2020-03-05,FERRAZ DE VASCONCELOS,3515707,196500,0.349568057
2020-03-05,FRANCA,3516200,355901,0.336184211
2020-03-05,FRANCISCO MORATO,3516309,177633,0.336755739
2020-03-05,FRANCO DA ROCHA,3516408,156492,0.365254821
2020-03-05,GUARATINGUETÁ,3518404,122505,0.408709253
2020-03-05,GUARUJÁ,3518701,322750,0.383428543
2020-03-05,GUARULHOS,3518800,1392121,0.325140145
2020-03-05,HORTOLÂNDIA,3519071,234259,0.361627216
2020-03-05,IBIÚNA,3519709,79479,0.480106583
2020-03-05,INDAIATUBA,3520509,256223,0.351416323
2020-03-05,ITANHAÉM,3522109,103102,0.464133343
2020-03-05,ITAPECERICA DA SERRA,3522208,177662,0.394257093
2020-03-05,ITAPETININGA,3522307,165526,0.38403452
2020-03-05,ITAPEVA,3522406,94804,0.381865841
2020-03-05,ITAPEVI,3522505,240961,0.347064394
2020-03-05,ITAPIRA,3522604,75234,0.416872482
2020-03-05,ITAQUAQUECETUBA,3523107,375011,0.391681068
2020-03-05,ITATIBA,3523404,122581,0.33712557
2020-03-05,ITU,3523909,175568,0.348903832
2020-03-05,JABOTICABAL,3524303,77652,0.372506844
2020-03-05,JACAREÍ,3524402,235416,0.370065879
2020-03-05,JANDIRA,3525003,126356,0.324839629
2020-03-05,JAÚ,3525300,151881,0.368592206
2020-03-05,JUNDIAÍ,3525904,423006,0.28732997
2020-03-05,LEME,3526704,104346,0.449519658
2020-03-05,LIMEIRA,3526902,308482,0.311225738
2020-03-05,LINS,3527108,78503,0.368419066
2020-03-05,LORENA,3527207,89125,0.494092288
2020-03-05,MAIRIPORÃ,3528502,101937,0.412590159
2020-03-05,MARÍLIA,3529005,240590,0.317415579
2020-03-05,MATÃO,3529302,83626,0.372692863
2020-03-05,MAUÁ,3529401,477552,0.328147807
2020-03-05,MOGI DAS CRUZES,3530607,450785,0.339202634
2020-03-05,MOGI GUAÇU,3530706,153033,0.39523306
2020-03-05,MOGI MIRIM,3530805,93650,0.396672905
2020-03-05,OSASCO,3534401,699944,0.293827948
2020-03-05,OURINHOS,3534708,114352,0.340425532
2020-03-05,PAULÍNIA,3536505,112003,0.342033017
2020-03-05,PINDAMONHANGABA,3538006,170132,0.433124972
2020-03-05,PIRACICABA,3538709,407252,0.306925055
2020-03-05,PIRASSUNUNGA,3539301,76877,0.448012947
2020-03-05,POÁ,3539806,118349,0.367214411
2020-03-05,PRAIA GRANDE,3541000,330845,0.369551282
2020-03-05,PRESIDENTE PRUDENTE,3541406,230371,0.298009252
2020-03-05,RIBEIRÃO PIRES,3543303,124159,0.391267008
2020-03-05,RIBEIRÃO PRETO,3543402,711825,0.290015653
2020-03-05,RIO CLARO,3543907,208008,0.363284425
2020-03-05,SALTO,3545209,119736,0.351778982
2020-03-05,SANTA BÁRBARA D'OESTE,3545803,194390,0.324892001
2020-03-05,SANTANA DE PARNAÍBA,3547304,142301,0.333781133
2020-03-05,SANTO ANDRÉ,3547809,721368,0.284724076
2020-03-05,SANTOS,3548500,433656,0.292272673
2020-03-05,SÃO BERNARDO DO CAMPO,3548708,844483,0.30278864
2020-03-05,SÃO CAETANO DO SUL,3548807,161957,0.278839089
2020-03-05,SÃO CARLOS,3548906,254484,0.353330555
2020-03-05,SÃO JOÃO DA BOA VISTA,3549102,91771,0.417377968
2020-03-05,SÃO JOSÉ DO RIO PRETO,3549805,464983,0.295963655
2020-03-05,SÃO JOSÉ DOS CAMPOS,3549904,729737,0.339699683
2020-03-05,SÃO PAULO,3550308,12325232,0.277438284
2020-03-05,SÃO ROQUE,3550605,92060,0.394281122
2020-03-05,SÃO SEBASTIÃO,3550704,90328,0.520003658
2020-03-05,SÃO VICENTE,3551009,368355,0.379703209
2020-03-05,SERTÃOZINHO,3551702,127142,0.407625869
2020-03-05,SOROCABA,3552205,687357,0.311893192
2020-03-05,SUMARÉ,3552403,286211,0.331535702
2020-03-05,SUZANO,3552502,300559,0.370103389
2020-03-05,TABOÃO DA SERRA,3552809,293652,0.310580558
2020-03-05,TATUÍ,3554003,122967,0.378772811
2020-03-05,TAUBATÉ,3554102,317915,0.374501842
2020-03-05,UBATUBA,3555406,91824,0.49306961
2020-03-05,VALINHOS,3556206,131210,0.31685457
2020-03-05,VÁRZEA PAULISTA,3556503,123071,0.324536711
2020-03-05,VINHEDO,3556701,80111,0.351728913
2020-03-05,VOTORANTIM,3557006,123599,0.360728391
2020-03-05,VOTUPORANGA,3557105,95338,0.452981335
2020-03-06,AMERICANA,3501608,242018,0.339432423
2020-03-06,AMPARO,3501905,72677,0.395428065
2020-03-06,ARAÇATUBA,3502804,198129,0.301471692
2020-03-06,ARARAQUARA,3503208,238339,0.295380638
2020-03-06,ARARAS,3503307,135506,0.353395376
2020-03-06,ARUJÁ,3503901,91157,0.344803854
2020-03-06,ASSIS,3504008,105087,0.339301462
2020-03-06,ATIBAIA,3504107,144088,0.333877107
2020-03-06,AVARÉ,3504503,91232,0.353450368
2020-03-06,BARRETOS,3505500,122833,0.39299795
2020-03-06,BARUERI,3505708,276982,0.269426224
2020-03-06,BAURU,3506003,379297,0.279496731
2020-03-06,BEBEDOURO,3506102,77555,0.461775148
2020-03-06,BIRIGUI,3506508,124883,0.38078976
2020-03-06,BOTUCATU,3507506,148130,0.32030911
2020-03-06,BRAGANÇA PAULISTA,3507605,170533,0.308247682
2020-03-06,CAÇAPAVA,3508504,95018,0.420576978
2020-03-06,CAIEIRAS,3509007,102775,0.319363877
2020-03-06,CAJAMAR,3509205,77934,0.385141548
