region,03/06/20,10/06/20,19/06/20,26/06/20,03/07/20,10/07/20,17/07/20,24/07/20,31/07/20,07/08/20,21/08/20,04/09/20,11/09/20,09/10/20,30/11/20
GRANDE SAO PAULO,VERMELHA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,VERDE,AMARELA
ARACATUBA,LARANJA,LARANJA,LARANJA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA
ARARAQUARA,AMARELA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA
BAIXADA SANTISTA,VERMELHA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,VERDE,AMARELA
BARRETOS,AMARELA,VERMELHA,VERMELHA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,LARANJA,AMARELA
BAURU,AMARELA,LARANJA,LARANJA,VERMELHA,VERMELHA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA
CAMPINAS,LARANJA,LARANJA,LARANJA,LARANJA,VERMELHA,VERMELHA,VERMELHA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA,VERDE,AMARELA
FRANCA,LARANJA,LARANJA,LARANJA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA
MARILIA,LARANJA,LARANJA,VERMELHA,VERMELHA,VERMELHA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA
PIRACICABA,LARANJA,LARANJA,LARANJA,VERMELHA,VERMELHA,LARANJA,VERMELHA,VERMELHA,VERMELHA,AMARELA,AMARELA,AMARELA,AMARELA,VERDE,AMARELA
PRESIDENTE PRUDENTE,AMARELA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA
REGISTRO,VERMELHA,LARANJA,VERMELHA,VERMELHA,VERMELHA,AMARELA,AMARELA,AMARELA,VERMELHA,VERMELHA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA
RIBEIRAO PRETO,LARANJA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,VERMELHA,AMARELA,AMARELA,LARANJA,AMARELA,AMARELA,AMARELA
SAO JOAO DA BOA VISTA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA
SAO JOSE DO RIO PRETO,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA
SOROCABA,LARANJA,LARANJA,LARANJA,VERMELHA,VERMELHA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA,VERDE,AMARELA
TAUBATE,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA,VERDE,AMARELA
SAO PAULO,LARANJA,LARANJA,LARANJA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,AMARELA,VERDE,AMARELA
