date,city,phase
2020-06-03,ALTOALEGRE,LARANJA
2020-06-03,ANDRADINA,LARANJA
2020-06-03,ARACATUBA,LARANJA
2020-06-03,AURIFLAMA,LARANJA
2020-06-03,AVANHANDAVA,LARANJA
2020-06-03,BARBOSA,LARANJA
2020-06-03,BENTODEABREU,LARANJA
2020-06-03,BILAC,LARANJA
2020-06-03,BIRIGUI,LARANJA
2020-06-03,BRAUNA,LARANJA
2020-06-03,BREJOALEGRE,LARANJA
2020-06-03,BURITAMA,LARANJA
2020-06-03,CASTILHO,LARANJA
2020-06-03,CLEMENTINA,LARANJA
2020-06-03,COROADOS,LARANJA
2020-06-03,GABRIELMONTEIRO,LARANJA
2020-06-03,GLICERIO,LARANJA
2020-06-03,GUARACAI,LARANJA
2020-06-03,GUARARAPES,LARANJA
2020-06-03,GUZOLANDIA,LARANJA
2020-06-03,ILHASOLTEIRA,LARANJA
2020-06-03,ITAPURA,LARANJA
2020-06-03,LAVINIA,LARANJA
2020-06-03,LOURDES,LARANJA
2020-06-03,LUIZIANIA,LARANJA
2020-06-03,MIRANDOPOLIS,LARANJA
2020-06-03,MURUTINGADOSUL,LARANJA
2020-06-03,NOVACASTILHO,LARANJA
2020-06-03,NOVAINDEPENDENCIA,LARANJA
2020-06-03,NOVALUZITANIA,LARANJA
2020-06-03,PENAPOLIS,LARANJA
2020-06-03,PEREIRABARRETO,LARANJA
2020-06-03,PIACATU,LARANJA
2020-06-03,RUBIACEA,LARANJA
2020-06-03,SANTOANTONIODOARACANGUA,LARANJA
2020-06-03,SANTOPOLISDOAGUAPEI,LARANJA
2020-06-03,SUDMENNUCCI,LARANJA
2020-06-03,SUZANAPOLIS,LARANJA
2020-06-03,TURIUBA,LARANJA
2020-06-03,VALPARAISO,LARANJA
2020-06-03,AMERICOBRASILIENSE,AMARELA
2020-06-03,ARARAQUARA,AMARELA
2020-06-03,BOAESPERANCADOSUL,AMARELA
2020-06-03,BORBOREMA,AMARELA
2020-06-03,CANDIDORODRIGUES,AMARELA
2020-06-03,DESCALVADO,AMARELA
2020-06-03,DOBRADA,AMARELA
2020-06-03,DOURADO,AMARELA
2020-06-03,GAVIAOPEIXOTO,AMARELA
2020-06-03,IBATE,AMARELA
2020-06-03,IBITINGA,AMARELA
2020-06-03,ITAPOLIS,AMARELA
2020-06-03,MATAO,AMARELA
2020-06-03,MOTUCA,AMARELA
2020-06-03,NOVAEUROPA,AMARELA
2020-06-03,PORTOFERREIRA,AMARELA
2020-06-03,RIBEIRAOBONITO,AMARELA
2020-06-03,RINCAO,AMARELA
2020-06-03,SANTAERNESTINA,AMARELA
2020-06-03,SANTALUCIA,AMARELA
2020-06-03,SAOCARLOS,AMARELA
2020-06-03,TABATINGA,AMARELA
2020-06-03,TAQUARITINGA,AMARELA
2020-06-03,TRABIJU,AMARELA
2020-06-03,BERTIOGA,VERMELHA
2020-06-03,CUBATAO,VERMELHA
2020-06-03,GUARUJA,VERMELHA
2020-06-03,ITANHAEM,VERMELHA
2020-06-03,MONGAGUA,VERMELHA
2020-06-03,PERUIBE,VERMELHA
2020-06-03,PRAIAGRANDE,VERMELHA
2020-06-03,SANTOS,VERMELHA
2020-06-03,SAOVICENTE,VERMELHA
2020-06-03,ALTAIR,AMARELA
2020-06-03,BARRETOS,AMARELA
2020-06-03,BEBEDOURO,AMARELA
2020-06-03,CAJOBI,AMARELA
2020-06-03,COLINA,AMARELA
2020-06-03,COLOMBIA,AMARELA
2020-06-03,GUAIRA,AMARELA
2020-06-03,GUARACI,AMARELA
2020-06-03,JABORANDI,AMARELA
2020-06-03,MONTEAZULPAULISTA,AMARELA
2020-06-03,OLIMPIA,AMARELA
2020-06-03,SEVERINIA,AMARELA
2020-06-03,TAIACU,AMARELA
2020-06-03,TAIUVA,AMARELA
2020-06-03,TAQUARAL,AMARELA
2020-06-03,TERRAROXA,AMARELA
2020-06-03,VIRADOURO,AMARELA
2020-06-03,VISTAALEGREDOALTO,AMARELA
2020-06-03,AGUASDESANTABARBARA,AMARELA
2020-06-03,AGUDOS,AMARELA
2020-06-03,ANHEMBI,AMARELA
2020-06-03,ARANDU,AMARELA
2020-06-03,AREALVA,AMARELA
2020-06-03,AREIOPOLIS,AMARELA
2020-06-03,AVAI,AMARELA
2020-06-03,AVARE,AMARELA
2020-06-03,BALBINOS,AMARELA
2020-06-03,BARAODEANTONINA,AMARELA
2020-06-03,BARIRI,AMARELA
2020-06-03,BARRABONITA,AMARELA
2020-06-03,BAURU,AMARELA
2020-06-03,BOCAINA,AMARELA
2020-06-03,BOFETE,AMARELA
2020-06-03,BORACEIA,AMARELA
2020-06-03,BOREBI,AMARELA
2020-06-03,BOTUCATU,AMARELA
2020-06-03,BROTAS,AMARELA
2020-06-03,CABRALIAPAULISTA,AMARELA
2020-06-03,CAFELANDIA,AMARELA
2020-06-03,CERQUEIRACESAR,AMARELA
2020-06-03,CONCHAS,AMARELA
2020-06-03,CORONELMACEDO,AMARELA
2020-06-03,DOISCORREGOS,AMARELA
2020-06-03,DUARTINA,AMARELA
2020-06-03,FARTURA,AMARELA
2020-06-03,GETULINA,AMARELA
2020-06-03,GUAICARA,AMARELA
2020-06-03,IACANGA,AMARELA
2020-06-03,IARAS,AMARELA
2020-06-03,IGARACUDOTIETE,AMARELA
2020-06-03,ITAI,AMARELA
2020-06-03,ITAJU,AMARELA
2020-06-03,ITAPORANGA,AMARELA
2020-06-03,ITAPUI,AMARELA
2020-06-03,ITATINGA,AMARELA
2020-06-03,JAU,AMARELA
2020-06-03,LARANJALPAULISTA,AMARELA
2020-06-03,LENCOISPAULISTA,AMARELA
2020-06-03,LINS,AMARELA
2020-06-03,LUCIANOPOLIS,AMARELA
2020-06-03,MACATUBA,AMARELA
2020-06-03,MANDURI,AMARELA
2020-06-03,MINEIROSDOTIETE,AMARELA
2020-06-03,PARANAPANEMA,AMARELA
2020-06-03,PARDINHO,AMARELA
2020-06-03,PAULISTANIA,AMARELA
2020-06-03,PEDERNEIRAS,AMARELA
2020-06-03,PEREIRAS,AMARELA
2020-06-03,PIRAJU,AMARELA
2020-06-03,PIRAJUI,AMARELA
2020-06-03,PIRATININGA,AMARELA
2020-06-03,PONGAI,AMARELA
2020-06-03,PORANGABA,AMARELA
2020-06-03,PRATANIA,AMARELA
2020-06-03,PRESIDENTEALVES,AMARELA
2020-06-03,PROMISSAO,AMARELA
2020-06-03,REGINOPOLIS,AMARELA
