DRS,city
ARARAQUARA,AMERICO BRASILIENSE
ARARAQUARA,ARARAQUARA
ARARAQUARA,BOA ESPERANCA DO SUL
ARARAQUARA,BORBOREMA
ARARAQUARA,CANDIDO RODRIGUES
ARARAQUARA,DESCALVADO
ARARAQUARA,DOBRADA
ARARAQUARA,DOURADO
ARARAQUARA,GAVIAO PEIXOTO
ARARAQUARA,IBATE
ARARAQUARA,IBITINGA
ARARAQUARA,ITAPOLIS
ARARAQUARA,MATAO
ARARAQUARA,MOTUCA
ARARAQUARA,NOVA EUROPA
ARARAQUARA,PORTO FERREIRA
ARARAQUARA,RIBEIRAO BONITO
ARARAQUARA,RINCAO
ARARAQUARA,SANTA ERNESTINA
ARARAQUARA,SANTA LUCIA
ARARAQUARA,SAO CARLOS
ARARAQUARA,TABATINGA
ARARAQUARA,TAQUARITINGA
ARARAQUARA,TRABIJU
