DRS,city
CAMPINAS,AGUAS DE LINDOIA
CAMPINAS,AMERICANA
CAMPINAS,AMPARO
CAMPINAS,ARTUR NOGUEIRA
CAMPINAS,ATIBAIA
CAMPINAS,BOM JESUS DOS PERDOES
CAMPINAS,BRAGANCA PAULISTA
CAMPINAS,CABREUVA
CAMPINAS,CAMPINAS
CAMPINAS,CAMPO LIMPO PAULISTA
CAMPINAS,COSMOPOLIS
CAMPINAS,HOLAMBRA
CAMPINAS,HORTOLANDIA
CAMPINAS,INDAIATUBA
CAMPINAS,ITATIBA
CAMPINAS,ITUPEVA
CAMPINAS,JAGUARIUNA
CAMPINAS,JARINU
CAMPINAS,JOANOPOLIS
CAMPINAS,JUNDIAI
CAMPINAS,LINDOIA
CAMPINAS,LOUVEIRA
CAMPINAS,MONTE ALEGRE DO SUL
CAMPINAS,MONTE MOR
CAMPINAS,MORUNGABA
CAMPINAS,NAZARE PAULISTA
CAMPINAS,NOVA ODESSA
CAMPINAS,PAULINIA
CAMPINAS,PEDRA BELA
CAMPINAS,PEDREIRA
CAMPINAS,PINHALZINHO
CAMPINAS,PIRACAIA
CAMPINAS,SANTA BARBARA D'OESTE
CAMPINAS,SANTO ANTONIO DA POSSE
CAMPINAS,SERRA NEGRA
CAMPINAS,SOCORRO
CAMPINAS,SUMARE
CAMPINAS,TUIUTI
CAMPINAS,VALINHOS
CAMPINAS,VARGEM
CAMPINAS,VARZEA PAULISTA
CAMPINAS,VINHEDO
