DRS,city
GRANDE SAO PAULO,ARUJA
GRANDE SAO PAULO,BARUERI
GRANDE SAO PAULO,BIRITIBA-MIRIM
GRANDE SAO PAULO,CAIEIRAS
GRANDE SAO PAULO,CAJAMAR
GRANDE SAO PAULO,CARAPICUIBA
GRANDE SAO PAULO,COTIA
GRANDE SAO PAULO,DIADEMA
GRANDE SAO PAULO,EMBU
GRANDE SAO PAULO,EMBU-GUACU
GRANDE SAO PAULO,FERRAZ DE VASCONCELOS
GRANDE SAO PAULO,FRANCISCO MORATO
GRANDE SAO PAULO,FRANCO DA ROCHA
GRANDE SAO PAULO,GUARAREMA
GRANDE SAO PAULO,GUARULHOS
GRANDE SAO PAULO,ITAPECERICA DA SERRA
GRANDE SAO PAULO,ITAPEVI
GRANDE SAO PAULO,ITAQUAQUECETUBA
GRANDE SAO PAULO,JANDIRA
GRANDE SAO PAULO,JUQUITIBA
GRANDE SAO PAULO,MAIRIPORA
GRANDE SAO PAULO,MAUA
GRANDE SAO PAULO,MOGI DAS CRUZES
GRANDE SAO PAULO,OSASCO
GRANDE SAO PAULO,PIRAPORA DO BOM JESUS
GRANDE SAO PAULO,POA
GRANDE SAO PAULO,RIBEIRAO PIRES
GRANDE SAO PAULO,RIO GRANDE DA SERRA
GRANDE SAO PAULO,SALESOPOLIS
GRANDE SAO PAULO,SANTA ISABEL
GRANDE SAO PAULO,SANTANA DE PARNAIBA
GRANDE SAO PAULO,SANTO ANDRE
GRANDE SAO PAULO,SAO BERNARDO DO CAMPO
GRANDE SAO PAULO,SAO CAETANO DO SUL
GRANDE SAO PAULO,SAO LOURENCO DA SERRA
GRANDE SAO PAULO,SAO PAULO
GRANDE SAO PAULO,SUZANO 
GRANDE SAO PAULO,TABOAO DA SERRA
GRANDE SAO PAULO,VARGEM GRANDE PAULISTA
