DRS,city
MARILIA,ADAMANTINA
MARILIA,ALVARO DE CARVALHO
MARILIA,ALVINLANDIA
MARILIA,ARCO IRIS
MARILIA,ASSIS
MARILIA,BASTOS
MARILIA,BERNARDINO DE CAMPOS
MARILIA,BORA
MARILIA,CAMPOS NOVOS PAULISTA
MARILIA,CANDIDO MOTA
MARILIA,CANITAR
MARILIA,CHAVANTES
MARILIA,CRUZALIA
MARILIA,ECHAPORA
MARILIA,ESPIRITO SANTO DO TURVO
MARILIA,FERNAO
MARILIA,FLORIDA PAULISTA
MARILIA,FLORINIA
MARILIA,GALIA
MARILIA,GARCA
MARILIA,GUAIMBE
MARILIA,GUARANTA
MARILIA,HERCULANDIA
MARILIA,IACRI
MARILIA,IBIRAREMA
MARILIA,INUBIA PAULISTA
MARILIA,IPAUSSU
MARILIA,JULIO MESQUITA
MARILIA,LUCELIA
MARILIA,LUPERCIO
MARILIA,LUTECIA
MARILIA,MARACAI
MARILIA,MARIAPOLIS
MARILIA,MARILIA
MARILIA,OCAUCU
MARILIA,OLEO
MARILIA,ORIENTE
MARILIA,OSCAR BRESSANE
MARILIA,OSVALDO CRUZ
MARILIA,OURINHOS
MARILIA,PACAEMBU
MARILIA,PALMITAL
MARILIA,PARAGUACU PAULISTA
MARILIA,PARAPUA
MARILIA,PEDRINHAS PAULISTA
MARILIA,PLATINA
MARILIA,POMPEIA
MARILIA,PRACINHA
MARILIA,QUEIROZ
MARILIA,QUINTANA
MARILIA,RIBEIRAO DO SUL
MARILIA,RINOPOLIS
MARILIA,SAGRES
MARILIA,SALMOURAO
MARILIA,SALTO GRANDE
MARILIA,SANTA CRUZ DO RIO PARDO
MARILIA,SAO PEDRO DO TURVO
MARILIA,TARUMA
MARILIA,TIMBURI
MARILIA,TUPA
MARILIA,UBIRAJARA
MARILIA,VERA CRUZ
