DRS,city
PRESIDENTE PRUDENTE,ALFREDO MARCONDES
PRESIDENTE PRUDENTE,ALVARES MACHADO
PRESIDENTE PRUDENTE,ANHUMAS
PRESIDENTE PRUDENTE,CAIABU
PRESIDENTE PRUDENTE,CAIUA
PRESIDENTE PRUDENTE,DRACENA
PRESIDENTE PRUDENTE,EMILIANOPOLIS
PRESIDENTE PRUDENTE,ESTRELA DO NORTE
PRESIDENTE PRUDENTE,EUCLIDES DA CUNHA PAULISTA
PRESIDENTE PRUDENTE,FLORA RICA
PRESIDENTE PRUDENTE,IEPE
PRESIDENTE PRUDENTE,INDIANA
PRESIDENTE PRUDENTE,IRAPURU
PRESIDENTE PRUDENTE,JOAO RAMALHO
PRESIDENTE PRUDENTE,JUNQUEIROPOLIS
PRESIDENTE PRUDENTE,MARABA PAULISTA
PRESIDENTE PRUDENTE,MARTINOPOLIS
PRESIDENTE PRUDENTE,MIRANTE DO PARANAPANEMA
PRESIDENTE PRUDENTE,MONTE CASTELO
PRESIDENTE PRUDENTE,NANTES
PRESIDENTE PRUDENTE,NARANDIBA
PRESIDENTE PRUDENTE,NOVA GUATAPORANGA
PRESIDENTE PRUDENTE,OURO VERDE
PRESIDENTE PRUDENTE,PANORAMA
PRESIDENTE PRUDENTE,PAULICEIA
PRESIDENTE PRUDENTE,PIQUEROBI
PRESIDENTE PRUDENTE,PIRAPOZINHO
PRESIDENTE PRUDENTE,PRESIDENTE BERNARDES
PRESIDENTE PRUDENTE,PRESIDENTE EPITACIO
PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE
PRESIDENTE PRUDENTE,PRESIDENTE VENCESLAU
PRESIDENTE PRUDENTE,QUATA
PRESIDENTE PRUDENTE,RANCHARIA
PRESIDENTE PRUDENTE,REGENTE FEIJO
PRESIDENTE PRUDENTE,RIBEIRAO DOS INDIOS
PRESIDENTE PRUDENTE,ROSANA
PRESIDENTE PRUDENTE,SANDOVALINA
PRESIDENTE PRUDENTE,SANTA MERCEDES
PRESIDENTE PRUDENTE,SANTO ANASTACIO
PRESIDENTE PRUDENTE,SANTO EXPEDITO
PRESIDENTE PRUDENTE,SAO JOAO DO PAU D'ALHO
PRESIDENTE PRUDENTE,TACIBA
PRESIDENTE PRUDENTE,TARABAI
PRESIDENTE PRUDENTE,TEODORO SAMPAIO
PRESIDENTE PRUDENTE,TUPI PAULISTA
