DRS,city
RIBEIRAO PRETO,ALTINOPOLIS
RIBEIRAO PRETO,BARRINHA
RIBEIRAO PRETO,BATATAIS
RIBEIRAO PRETO,BRODOWSKI
RIBEIRAO PRETO,CAJURU
RIBEIRAO PRETO,CASSIA DOS COQUEIROS
RIBEIRAO PRETO,CRAVINHOS
RIBEIRAO PRETO,DUMONT
RIBEIRAO PRETO,GUARIBA
RIBEIRAO PRETO,GUATAPARA
RIBEIRAO PRETO,JABOTICABAL
RIBEIRAO PRETO,JARDINOPOLIS
RIBEIRAO PRETO,LUIS ANTONIO
RIBEIRAO PRETO,MONTE ALTO
RIBEIRAO PRETO,PITANGUEIRAS
RIBEIRAO PRETO,PONTAL
RIBEIRAO PRETO,PRADOPOLIS
RIBEIRAO PRETO,RIBEIRAO PRETO
RIBEIRAO PRETO,SANTA CRUZ DA ESPERANCA
RIBEIRAO PRETO,SANTA RITA DO PASSA QUATRO
RIBEIRAO PRETO,SANTA ROSA DE VITERBO
RIBEIRAO PRETO,SANTO ANTONIO DA ALEGRIA
RIBEIRAO PRETO,SAO SIMAO
RIBEIRAO PRETO,SERRA AZUL
RIBEIRAO PRETO,SERRANA
RIBEIRAO PRETO,SERTAOZINHO
