DRS,city
SAO JOAO DA BOA VISTA,AGUAI
SAO JOAO DA BOA VISTA,AGUAS DA PRATA
SAO JOAO DA BOA VISTA,CACONDE
SAO JOAO DA BOA VISTA,CASA BRANCA
SAO JOAO DA BOA VISTA,DIVINOLANDIA
SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL
SAO JOAO DA BOA VISTA,ESTIVA GERBI
SAO JOAO DA BOA VISTA,ITAPIRA
SAO JOAO DA BOA VISTA,ITOBI
SAO JOAO DA BOA VISTA,MOCOCA
SAO JOAO DA BOA VISTA,MOGI GUACU
SAO JOAO DA BOA VISTA,MOGI MIRIM
SAO JOAO DA BOA VISTA,SANTA CRUZ DAS PALMEIRAS
SAO JOAO DA BOA VISTA,SANTO ANTONIO DO JARDIM
SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA
SAO JOAO DA BOA VISTA,SAO JOSE DO RIO PARDO
SAO JOAO DA BOA VISTA,SAO SEBASTIAO DA GRAMA
SAO JOAO DA BOA VISTA,TAMBAU
SAO JOAO DA BOA VISTA,TAPIRATIBA
SAO JOAO DA BOA VISTA,VARGEM GRANDE DO SUL
