DRS,city
SOROCABA,ALAMBARI
SOROCABA,ALUMINIO
SOROCABA,ANGATUBA
SOROCABA,APIAI
SOROCABA,ARACARIGUAMA
SOROCABA,ARACOIABA DA SERRA
SOROCABA,BARRA DO CHAPEU
SOROCABA,BOITUVA
SOROCABA,BOM SUCESSO DE ITARARE
SOROCABA,BURI
SOROCABA,CAMPINA DO MONTE ALEGRE
SOROCABA,CAPAO BONITO
SOROCABA,CAPELA DO ALTO
SOROCABA,CERQUILHO
SOROCABA,CESARIO LANGE
SOROCABA,GUAPIARA
SOROCABA,GUAREI
SOROCABA,IBIUNA
SOROCABA,IPERO
SOROCABA,ITABERA
SOROCABA,ITAOCA
SOROCABA,ITAPETININGA
SOROCABA,ITAPEVA
SOROCABA,ITAPIRAPUA PAULISTA
SOROCABA,ITARARE
SOROCABA,ITU
SOROCABA,JUMIRIM
SOROCABA,MAIRINQUE
SOROCABA,NOVA CAMPINA
SOROCABA,PIEDADE
SOROCABA,PILAR DO SUL
SOROCABA,PORTO FELIZ
SOROCABA,QUADRA
SOROCABA,RIBEIRA
SOROCABA,RIBEIRAO BRANCO
SOROCABA,RIBEIRAO GRANDE
SOROCABA,RIVERSUL
SOROCABA,SALTO
SOROCABA,SALTO DE PIRAPORA
SOROCABA,SAO MIGUEL ARCANJO
SOROCABA,SAO ROQUE
SOROCABA,SARAPUI
SOROCABA,SOROCABA
SOROCABA,TAPIRAI
SOROCABA,TAQUARIVAI
SOROCABA,TATUI
SOROCABA,TIETE
SOROCABA,VOTORANTIM
