DRS,city
ARACATUBA,ALTOALEGRE
ARACATUBA,ANDRADINA
ARACATUBA,ARACATUBA
ARACATUBA,AURIFLAMA
ARACATUBA,AVANHANDAVA
ARACATUBA,BARBOSA
ARACATUBA,BENTODEABREU
ARACATUBA,BILAC
ARACATUBA,BIRIGUI
ARACATUBA,BRAUNA
ARACATUBA,BREJOALEGRE
ARACATUBA,BURITAMA
ARACATUBA,CASTILHO
ARACATUBA,CLEMENTINA
ARACATUBA,COROADOS
ARACATUBA,GABRIELMONTEIRO
ARACATUBA,GLICERIO
ARACATUBA,GUARACAI
ARACATUBA,GUARARAPES
ARACATUBA,GUZOLANDIA
ARACATUBA,ILHASOLTEIRA
ARACATUBA,ITAPURA
ARACATUBA,LAVINIA
ARACATUBA,LOURDES
ARACATUBA,LUIZIANIA
ARACATUBA,MIRANDOPOLIS
ARACATUBA,MURUTINGADOSUL
ARACATUBA,NOVACASTILHO
ARACATUBA,NOVAINDEPENDENCIA
ARACATUBA,NOVALUZITANIA
ARACATUBA,PENAPOLIS
ARACATUBA,PEREIRABARRETO
ARACATUBA,PIACATU
ARACATUBA,RUBIACEA
ARACATUBA,SANTOANTONIODOARACANGUA
ARACATUBA,SANTOPOLISDOAGUAPEI
ARACATUBA,SUDMENNUCCI
ARACATUBA,SUZANAPOLIS
ARACATUBA,TURIUBA
ARACATUBA,VALPARAISO
ARARAQUARA,AMERICOBRASILIENSE
ARARAQUARA,ARARAQUARA
ARARAQUARA,BOAESPERANCADOSUL
ARARAQUARA,BORBOREMA
ARARAQUARA,CANDIDORODRIGUES
ARARAQUARA,DESCALVADO
ARARAQUARA,DOBRADA
ARARAQUARA,DOURADO
ARARAQUARA,GAVIAOPEIXOTO
ARARAQUARA,IBATE
ARARAQUARA,IBITINGA
ARARAQUARA,ITAPOLIS
ARARAQUARA,MATAO
ARARAQUARA,MOTUCA
ARARAQUARA,NOVAEUROPA
ARARAQUARA,PORTOFERREIRA
ARARAQUARA,RIBEIRAOBONITO
ARARAQUARA,RINCAO
ARARAQUARA,SANTAERNESTINA
ARARAQUARA,SANTALUCIA
ARARAQUARA,SAOCARLOS
ARARAQUARA,TABATINGA
ARARAQUARA,TAQUARITINGA
ARARAQUARA,TRABIJU
BAIXADA SANTISTA,BERTIOGA
BAIXADA SANTISTA,CUBATAO
BAIXADA SANTISTA,GUARUJA
BAIXADA SANTISTA,ITANHAEM
BAIXADA SANTISTA,MONGAGUA
BAIXADA SANTISTA,PERUIBE
BAIXADA SANTISTA,PRAIAGRANDE
BAIXADA SANTISTA,SANTOS
BAIXADA SANTISTA,SAOVICENTE
BARRETOS,ALTAIR
BARRETOS,BARRETOS
BARRETOS,BEBEDOURO
BARRETOS,CAJOBI
BARRETOS,COLINA
BARRETOS,COLOMBIA
BARRETOS,GUAIRA
BARRETOS,GUARACI
BARRETOS,JABORANDI
BARRETOS,MONTEAZULPAULISTA
BARRETOS,OLIMPIA
BARRETOS,SEVERINIA
BARRETOS,TAIACU
BARRETOS,TAIUVA
BARRETOS,TAQUARAL
BARRETOS,TERRAROXA
BARRETOS,VIRADOURO
BARRETOS,VISTAALEGREDOALTO
BAURU,AGUASDESANTABARBARA
BAURU,AGUDOS
BAURU,ANHEMBI
BAURU,ARANDU
BAURU,AREALVA
BAURU,AREIOPOLIS
BAURU,AVAI
BAURU,AVARE
BAURU,BALBINOS
BAURU,BARAODEANTONINA
BAURU,BARIRI
BAURU,BARRABONITA
BAURU,BAURU
BAURU,BOCAINA
BAURU,BOFETE
BAURU,BORACEIA
BAURU,BOREBI
BAURU,BOTUCATU
BAURU,BROTAS
BAURU,CABRALIAPAULISTA
BAURU,CAFELANDIA
BAURU,CERQUEIRACESAR
BAURU,CONCHAS
BAURU,CORONELMACEDO
BAURU,DOISCORREGOS
BAURU,DUARTINA
BAURU,FARTURA
BAURU,GETULINA
BAURU,GUAICARA
BAURU,IACANGA
BAURU,IARAS
BAURU,IGARACUDOTIETE
BAURU,ITAI
BAURU,ITAJU
BAURU,ITAPORANGA
BAURU,ITAPUI
BAURU,ITATINGA
BAURU,JAU
BAURU,LARANJALPAULISTA
BAURU,LENCOISPAULISTA
BAURU,LINS
BAURU,LUCIANOPOLIS
BAURU,MACATUBA
BAURU,MANDURI
BAURU,MINEIROSDOTIETE
BAURU,PARANAPANEMA
BAURU,PARDINHO
BAURU,PAULISTANIA
BAURU,PEDERNEIRAS
BAURU,PEREIRAS
BAURU,PIRAJU
BAURU,PIRAJUI
BAURU,PIRATININGA
BAURU,PONGAI
BAURU,PORANGABA
BAURU,PRATANIA
BAURU,PRESIDENTEALVES
BAURU,PROMISSAO
BAURU,REGINOPOLIS
BAURU,SABINO
BAURU,SAOMANUEL
BAURU,SARUTAIA
BAURU,TAGUAI
BAURU,TAQUARITUBA
BAURU,TEJUPA
BAURU,TORREDEPEDRA
BAURU,TORRINHA
BAURU,URU
CAMPINAS,AGUASDELINDOIA
CAMPINAS,AMERICANA
CAMPINAS,AMPARO
CAMPINAS,ARTURNOGUEIRA
CAMPINAS,ATIBAIA
CAMPINAS,BOMJESUSDOSPERDOES
CAMPINAS,BRAGANCAPAULISTA
CAMPINAS,CABREUVA
CAMPINAS,CAMPINAS
CAMPINAS,CAMPOLIMPOPAULISTA
CAMPINAS,COSMOPOLIS
CAMPINAS,HOLAMBRA
CAMPINAS,HORTOLANDIA
CAMPINAS,INDAIATUBA
CAMPINAS,ITATIBA
CAMPINAS,ITUPEVA
CAMPINAS,JAGUARIUNA
CAMPINAS,JARINU
CAMPINAS,JOANOPOLIS
CAMPINAS,JUNDIAI
CAMPINAS,LINDOIA
CAMPINAS,LOUVEIRA
CAMPINAS,MONTEALEGREDOSUL
CAMPINAS,MONTEMOR
CAMPINAS,MORUNGABA
CAMPINAS,NAZAREPAULISTA
CAMPINAS,NOVAODESSA
CAMPINAS,PAULINIA
CAMPINAS,PEDRABELA
CAMPINAS,PEDREIRA
CAMPINAS,PINHALZINHO
CAMPINAS,PIRACAIA
CAMPINAS,SANTABARBARADOESTE
CAMPINAS,SANTOANTONIODAPOSSE
CAMPINAS,SERRANEGRA
CAMPINAS,SOCORRO
CAMPINAS,SUMARE
CAMPINAS,TUIUTI
CAMPINAS,VALINHOS
CAMPINAS,VARGEM
CAMPINAS,VARZEAPAULISTA
CAMPINAS,VINHEDO
FRANCA,ARAMINA
FRANCA,BURITIZAL
FRANCA,CRISTAISPAULISTA
FRANCA,FRANCA
FRANCA,GUARA
FRANCA,IGARAPAVA
FRANCA,IPUA
FRANCA,ITIRAPUA
FRANCA,ITUVERAVA
FRANCA,JERIQUARA
FRANCA,MIGUELOPOLIS
FRANCA,MORROAGUDO
FRANCA,NUPORANGA
